ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
13845,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,BRLD",324,21.55,25.71,0,,80,64,2.19,10,10.43,309,0,,
13846,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,RSTD",333,23.4,25.84,0,,84,65,2.39,9,10.42,299,0,,
13847,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,RAW",367,15.77,33.26,0,,73,53,1.65,8,13.96,248,0,,
13848,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",404,20.65,34.97,0,,86,62,2.08,10,14.51,298,0,,
13849,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",393,22.86,32.74,0,,85,64,2.33,10,13.59,291,0,,
13850,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",254,19.33,19.06,0,0,81,49,1.39,23,7.692,295,0,0.42,
13851,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BR",291,25.85,20.04,0,0,97,53,1.66,19,7.894,323,0,0.49,0.3
13852,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RS",341,22.54,27.14,0,,83,63,2.42,13,10.92,324,0,,
13853,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,RAW",263,19.09,20.13,0,0,80,48,1.38,24,8.121,293,0,0.43,
13854,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",304,24.53,22.09,0,0,94,49,1.64,16,8.7,298,0,0.5,
13855,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",359,22.28,29.21,0,,83,63,2.39,13,11.78,319,0,,
13856,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW",246,19.56,18,0,0,85,49,1.4,22,7.264,297,0,0.4,
13857,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",278,27.17,18,0,0,103,58,1.67,22,7.088,349,0,0.49,
13858,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD",323,22.76,25.02,0,,83,64,2.44,13,10.05,328,0,,
13859,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW",335,16.74,29.18,0,,70,53,1.77,10,12.07,286,0,,
13860,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",354,24.13,27.86,0,,83,63,2.23,13,11.51,332,0,,
13861,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",411,22.15,35.12,0,,84,65,1.95,13,14.51,323,0,,
13862,"BEEF,SHLDR TOP BLDE STK,BNLS,LN & FAT,0"" FAT,SEL,CKD,G",194,27.7,9.29,0,0,98,88,3.02,14,3.868,388,0,0.12,0.1
13863,"BEEF,SHLDR TOP BLADE STEAK,BNLS,LN & FAT,0"" FAT,ALL GRDS,RAW",146,20.16,7.25,0,0,69,82,2.49,12,3.153,335,0,0.17,0.1
13864,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,RAW",195,20.56,11.92,0,0,62,54,1.99,4,4.63,342,0,0.18,0.2
13865,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",235,27.54,12.98,0,0,79,62,2.55,6,4.9,395,0,0.16,0.2
13866,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,RAW",184,20.56,10.68,0,0,62,54,2,4,4.2,342,0,,
13867,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,CKD,BRLD",218,27.58,11.08,0,0,79,62,2.56,6,4.23,395,0,,
13868,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",192,20.7,11.54,0,0,73,56,1.74,20,4.544,327,0,0.35,
13869,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRSD",247,32.76,11.87,0,0,100,43,2.67,8,4.506,266,0,0.48,0.2
13870,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",218,26.41,11.64,0,0,85,35,2.16,6,4.418,214,0,0.41,
13871,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",198,20.71,12.15,0,0,75,53,1.84,16,4.784,319,0,0.36,
13872,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD",254,32.85,12.56,0,0,101,42,2.7,7,4.766,263,0,0.49,
13873,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",223,26.05,12.44,0,0,86,34,2.15,6,4.721,210,0,0.41,
13874,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",187,20.68,10.93,0,0,72,60,1.63,23,4.303,335,0,0.35,
13875,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",240,32.67,11.19,0,0,98,43,2.64,8,4.247,269,0,0.47,
13876,"BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",212,26.77,10.85,0,0,84,35,2.16,7,4.116,219,0,0.4,
13877,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,RAW",166,21.49,8.24,0,0,68,58,1.81,20,3.245,340,0,0.33,
13878,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",208,28.31,9.65,0,0,84,37,2.29,7,3.664,227,0,0.41,0.2
13879,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,RAW",173,21.68,8.91,0,0,70,55,1.92,16,3.509,334,0,0.33,
13880,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",212,28.48,10.05,0,0,86,37,2.33,6,3.813,227,0,0.41,
13881,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,RAW",159,21.3,7.57,0,0,66,62,1.69,24,2.98,346,0,0.32,
13882,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",204,28.13,9.26,0,0,83,37,2.24,7,3.515,228,0,0.4,
13883,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",189,19.6,11.67,0,,65,58,2,5,4.6,329,0,,
13884,"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",219,27.45,11.34,0,0,82,63,2.81,6,4.24,367,0,0.17,0.2
13885,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,RAW",199,19.48,12.83,0,0,65,58,1.99,5,5.04,326,0,,
13886,"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",228,27.27,12.34,0,0,82,63,2.79,6,4.63,365,0,0.18,0.2
13887,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW",178,19.74,10.39,0,0,64,58,2.02,5,4.1,332,0,,
13888,"BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",210,27.63,10.24,0,0,82,64,2.83,6,3.81,370,0,0.14,0.2
13889,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",152,20.07,7.94,0,0,68,81,2.5,12,3.462,336,0,0.16,0.1
13890,"BEEF,RND,TOP RND,LN,1/8"" FAT,CHOIC,CKD,PAN-FRIED",228,33.93,8.33,2.03,0,102,65,3.4,6,2.399,484,0,0.17,0.1
13891,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",166,22.06,7.93,0,0,69,60,1.85,21,3.123,349,0,0.33,
13892,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",238,34.34,10.13,0,0,90,45,3.16,5,3.78,319,0,0.17,0.2
13893,"BEEF,RND,TOP RND STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",204,30.67,9,0,0,90,41,2.53,7,3.415,252,0,0.43,0.1
13894,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",168,21.94,8.19,0,0,69,57,1.97,17,3.224,341,0,0.33,
13895,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",250,34.09,11.61,0,0,90,45,3.14,5,4.33,317,0,,
13896,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD",224,30.7,10.27,0,0,92,40,2.54,7,3.898,248,0,0.44,
13897,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,PAN-FRIED",266,32.99,13.83,0,0,97,68,2.97,6,4.64,480,0,0.18,0.2
13898,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",164,22.18,7.68,0,0,68,63,1.74,25,3.023,357,0,0.3,
13899,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,SEL,CKD,BRSD",225,34.6,8.54,0,0,90,45,3.18,4,3.2,321,0,,
13900,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD",201,30.63,7.73,0,0,87,41,2.52,8,2.933,256,0,0.42,
13901,"BEEF,RND,TOP RND,LN&FAT,1/8""FAT,PRIME,RAW",173,22.24,8.67,0,0,59,51,2.04,3,3.3,371,0,,
13902,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,PRIME,CKD,BRLD",225,31.27,10.1,0,0,84,61,2.84,6,3.61,436,0,,
13903,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW",137,20.28,6.21,0,0,71,86,2.49,12,2.69,344,0,0.2,0.1
13904,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",165,20.32,9.29,0,0,67,80,2,13,3.592,344,0,0.14,0.1
13905,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",258,17.98,20.08,0,0,68,52,1.94,6,8.02,295,0,,
13906,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",299,23.27,22.11,0,0,74,64,2.74,8,8.45,322,0,,
13907,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",232,18.9,16.81,0,0,62,53,2.1,6,6.7,308,0,,
13908,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",286,24.04,20.3,0,0,65,66,2.81,8,7.83,334,0,,
13909,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",228,20.61,15.49,0,0,81,52,1.47,24,6.251,313,0,0.39,
13910,"BEEF,SHRT LOIN,TOP LOIN,STK,LN & FT,1/8"" FT,ALL GRD,CKD,BRLD",264,26.44,16.78,0,0,96,54,1.69,19,6.608,328,0,0.46,0.3
13911,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",232,20.63,15.95,0,0,82,51,1.48,25,6.435,313,0,0.4,
13912,"BEEF,SHRT LOIN,TOP LOIN,STK,LN & FT,1/8"" FAT,CHOIC,CKD,BRLD",278,26.16,18.45,0,0,100,52,1.75,17,7.264,316,0,0.48,
13913,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",224,20.59,15.04,0,0,80,52,1.47,23,6.067,313,0,0.38,
13914,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD",250,26.72,15.11,0,0,93,57,1.63,22,5.951,340,0,0.45,
13915,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN & FAT,1/8"" FAT,PRIME,RAW",281,19,22.17,0,0,67,53,1.58,6,9.08,295,0,,
13916,"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,PRIME,CKD,BRLD",310,25.92,22.12,0,0,79,64,2.26,9,8.91,354,0,,
13917,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",247,19.61,18.16,0,0,85,50,1.42,23,7.327,302,0,0.41,
13918,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",267,26.46,17.12,0,0,97,54,1.69,19,6.743,329,0,0.47,0.3
13919,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",324,23.9,24.6,0,0,85,57,3.11,9,9.72,331,0,,
13920,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",246,19.82,17.88,0,0,85,50,1.43,25,7.214,303,0,0.41,
13921,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD",273,26.43,17.78,0,0,99,52,1.76,17,7.001,318,0,0.47,
13922,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",331,23.9,25.39,0,0,85,65,3.11,9,10.02,407,0,,
13923,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",249,19.37,18.46,0,0,86,50,1.42,22,7.451,300,0,0.41,
13924,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD",262,26.48,16.53,0,0,96,57,1.63,22,6.511,340,0,0.46,
13925,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",316,23.9,23.7,0,0,85,57,3.11,9,9.38,331,0,,
13926,"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,PRIME,RAW",274,18.15,21.83,0,0,70,49,2.35,7,8.96,304,0,,
13927,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,PRIME,CKD,BRLD",308,25.26,22.21,0,0,86,59,3.15,8,8.85,368,0,,
13928,"BEEF,TENDERLOIN,RST,LN & FAT,1/8"" FAT,PRIME,CKD,RSTD",343,24.04,26.67,0,0,88,55,3.12,8,10.63,336,0,0.55,0.4
13929,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",201,20.3,12.71,0,0,75,52,1.48,24,5.127,315,0,0.36,
13930,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",243,26.96,14.23,0,0,92,56,1.73,20,5.603,336,0,0.44,0.2
13931,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",214,19.92,14.28,0,0,78,51,1.46,25,5.763,309,0,0.37,
13932,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD",257,26.8,15.75,0,0,96,54,1.81,18,6.202,327,0,0.46,
13933,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,PAN-FRIED",313,28.77,21.06,0,0,98,71,3.42,12,8.18,406,0,0.54,0.3
13934,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",189,20.68,11.13,0,0,72,53,1.51,24,4.491,321,0,0.35,
13935,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRLD",230,27.12,12.71,0,0,89,57,1.66,22,5.004,345,0,0.43,
13937,"BEEF,CHUCK,CLOD RST,LN,0"" FAT,CHOIC,CKD,RSTD",171,25.95,6.69,0,0,87,74,3.2,7,1.96,386,0,0.17,0.1
13940,"BEEF,CHUCK,CLOD RST,LN,0"" FAT,SEL,CKD,RSTD",172,28.09,5.82,0,0,90,74,3.19,7,2.15,384,0,0.17,0.1
13943,"Beef, shoulder steak, boneless, lean only, 0"", choice, grill",178,28.54,6.25,0,0,81,68,2.95,12,2.687,372,0,0.12,0.1
13946,"BEEF,SHLDR STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",169,28.71,5.17,0,0,83,68,2.94,12,2.192,371,0,0.07,0.1
13948,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",192,27.66,8.23,0,0,79,56,1.74,20,3.395,339,0,0.38,
13949,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD",183,27.78,7.15,0,0,78,58,1.68,22,2.951,351,0,0.37,
13950,"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,SEL,CKD,BRSD",205,33.59,6.77,0,0,93,57,2.78,20,2.666,275,0,0.43,
13951,"BEEF,RIB EYE,SML END (RIBS 10-12),LN & FAT,0"",SEL,CKD,BRLD",234,27.95,12.71,0,0,92,59,1.7,22,4.934,355,0,0.44,
13952,"BEEF,RIBEYE,SML END(RIBS 10-12),LN&FAT,0"",ALL GRDS,CKD,BRLD",249,27.27,14.74,0,0,89,56,1.75,20,5.72,340,0,0.45,
13953,"BF,BTTM SRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",211,26.05,11.07,0,0,83,53,1.66,19,4.071,323,0,0.4,
13954,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,ALL GRDS,RAW",165,20.64,8.55,0,0,66,52,1.49,25,3.14,317,0,0.32,
13955,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",221,25.66,12.36,0,0,85,50,1.7,17,4.546,308,0,0.41,
13956,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,CHOIC,RAW",174,20.64,9.51,0,0,68,51,1.47,25,3.493,313,0,0.33,
13957,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",201,26.44,9.78,0,0,81,56,1.62,21,3.595,338,0,0.39,
13958,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,SEL,RAW",157,20.64,7.68,0,0,65,53,1.51,24,2.822,321,0,0.31,
13959,"BEEF,RND,TOP RND,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",188,31.61,5.89,0,0,85,41,2.53,7,2.116,252,0,0.41,
13961,"BEEF,CHUCK,MOCK TENDER STEAK,LN,0"" FAT,CHOIC,CKD,BRLD",161,25.74,5.69,0,0,94,73,3.02,8,1.71,293,0,0.16,
13963,"BEEF,CHUCK,MOCK TENDER STEAK,LN,0"" FAT,SEL,CKD,BRLD",157,26.13,5.02,0,0,99,68,2.8,7,2,293,0,0.16,
13965,"BEEF,CHUCK,TOP BLADE,LN,0"" FAT,CHOIC,CKD,BRLD",217,26.11,11.65,0,0,93,68,2.81,7,3.62,304,0,0.18,
13967,"BEEF,CHUCK,TOP BLADE,LN,0"" FAT,SEL,CKD,BRLD",184,26.16,8,0,0,94,68,2.8,7,2.71,304,0,0.16,
13968,"BEEF,RND,TOP RND,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRLD",200,31.57,7.17,0,0,89,42,2.67,7,2.578,260,0,0.43,
13969,"BEEF,RND,TOP RND,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD",177,31.65,4.6,0,0,80,42,2.53,8,1.654,257,0,0.39,
13970,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",155,21.22,7.17,0,0,65,54,1.55,25,2.978,328,0,0.31,
13971,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,SEL,RAW",145,21.22,6.06,0,0,62,54,1.54,24,2.514,326,0,0.3,
13972,"BEEF,CHK EYE RST,BNL,AMERICA'S BF RST,LN,0"" FAT,ALL GRD, RAW",137,20.61,6.01,0,0,69,85,2.18,18,2.733,357,0,0.2,0.1
13973,"BEEF,CHK EYE RST,BNL,AMERICA'S BF RST,LN,0"" FAT,CHOIC,RAW",139,20.67,6.21,0,0,67,85,2.18,17,2.644,332,0,0.23,0.1
13974,"BEEF,CHUCK EYE RST,BNLESS,AMERICA'S BF RST,LN,0"" FAT,SEL,RAW",133,20.52,5.71,0,0,74,86,2.21,19,2.867,393,0,0.15,0.1
13975,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",169,20.15,9.86,0,0,67,79,1.98,13,3.704,349,0,0.16,0.1
13976,"BEEF,PLATE,INSIDE SKIRT STEAK,LN ONLY,1/4"" FAT,ALL GRDS,RAW",164,21.08,8.24,0,0,65,67,2.24,8,3.14,369,0,0.08,
13977,"BEEF,PLATE,INSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",205,26.66,10.06,0,0,85,76,2.83,11,3.85,295,0,0.11,
13978,"BEEF,PLATE,OUTSIDE SKIRT STEAK,LN ONLY,1/4"" FAT,ALL GRDS,RAW",165,19.62,8.95,0,0,69,70,2.34,9,3.47,386,0,0.09,
13979,"BEEF,PLATE,OUTSIDE SKIRT STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",233,24.18,14.37,0,0,91,94,2.66,10,5.97,393,0,0.11,
13980,"BEEF, CHUCK, SHORT RIBS, BNL, 0"" FAT, CHOICE, CKED, BR",250,28.84,14.95,0,0,102,75,3.19,14,6.968,264,0,0.1,0.2
13981,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,SEL,CKD,BRSD",224,28.79,12.08,0,0,108,75,3.21,14,5.78,308,0,0.07,0.1
13982,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,ALL GRDS,CKD,BRSD",240,28.82,13.8,0,0,105,75,3.2,14,6.493,276,0,0.09,0.1
13983,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,SEL,RAW",158,20.57,8.45,0,0,69,82,2.02,12,3.424,336,0,0.11,0.1
13985,"BF,LOIN,BTTM SIRLOIN BUTT,TRI-TIP,LN,0"" FAT,ALL GRD,CKD,RSTD",182,26.75,8.34,0,0,78,55,1.69,17,3.108,340,0,0.38,
13987,"BEEF,BTTM SIRLOIN,TRI-TIP STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",250,30.68,13.16,0,0,107,73,3.74,12,4.87,449,0,0.18,
14003,"ALCOHOLIC BEV,BEER,REG,ALL",43,0.46,0,3.55,0,0,4,0.02,4,0,27,0,0,0
14006,"ALCOHOLIC BEV,BEER,LT",29,0.24,0,1.64,0.09,0,4,0.03,4,0,21,0,0,0
14009,"ALCOHOLIC BEV,DAIQUIRI,CND",125,0,0,15.7,,0,40,0.01,0,0,11,1.3,,
14010,"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",186,0.06,0.06,6.94,5.58,0,5,0.09,3,0.006,21,1.6,0.03,
14013,"ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA",27,0.17,0,0.73,,0,3,0,4,,17,,,
14015,"ALCOHOLIC BEV,PINA COLADA,CND",237,0.6,7.6,27.6,,0,71,0.03,1,6.571,83,1.5,,
14017,"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",174,0.42,1.88,22.66,22.33,0,6,0.21,8,1.636,71,4.9,0.02,
14019,"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",110,0.3,0.1,11.3,,0,57,0.02,0,,10,19.3,,
14024,"WHISKEY SOUR MIX,PDR",383,0.6,0.1,97.3,97.3,0,274,0.39,272,0.019,19,2.7,,
14025,"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",164,0.1,0.02,15.85,15.81,0,47,0.08,46,0.003,4,0.4,0,
14027,"ALCOHOLIC BEV,WHISKEY SOUR,CND",119,0,0,13.4,,0,44,0.01,0,,11,1.6,,
14028,"WHISKEY SOUR MIX,BTLD",87,0.1,0.1,21.4,21.4,0,102,0.11,2,0.008,28,2.7,0,0
14029,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",153,0.06,0.06,12.82,12.78,0,61,0.08,1,0.005,18,1.6,0,
14034,"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",371,0,0.3,41.6,41.6,0,5,0.07,0,0.014,0,0,0,0
14037,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",231,0,0,0,0,0,1,0.04,0,0,2,0,0,0
14049,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",263,0,0,0,0,0,2,0,0,0,0,0,0,0
14050,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",231,0,0,0,0,0,1,0.12,0,0,2,0,0,0
14051,"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",231,0,0,0,0,0,1,0.01,0,0,1,0,,
14052,"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",250,0,0,0.1,0.1,0,0,0.02,0,0,1,0,,
14057,"ALCOHOLIC BEV,WINE,DSSRT,SWT",160,0.2,0,13.69,7.78,0,9,0.24,8,0,92,0,0,0
14084,"ALCOHOLIC BEV,WINE,TABLE,ALL",83,0.07,0,2.72,0.79,0,5,0.37,8,0,99,0,0,0
14086,"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,PEACH MANGO",37,1.22,0,7.76,7.35,0,29,0.15,41,0,24,24.5,,
14087,"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,STRAWBERRY BANANA",37,1.22,0,8.16,7.35,0,29,0.15,41,0,24,24.5,,
14088,"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,TROPICAL COLADA",41,1.22,0,8.54,7.32,0,20,0.15,41,0,24,24.4,,
14096,"ALCOHOLIC BEV,WINE,TABLE,RED",85,0.07,0,2.61,0.62,0,4,0.46,8,0,127,0,0,0
14097,"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON",83,0.07,0,2.6,,,,,,,,,,
14098,"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC",83,0.07,0,2.45,,,,,,,,,,
14099,"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",82,0.07,0,2.31,,,,,,,,,,
14100,"ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",83,0.07,0,2.58,,,,,,,,,,
14101,"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",85,0.07,0,2.79,,,,,,,,,,
14102,"ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL",88,0.07,0,2.86,,,,,,,,,,
14103,"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",85,0.07,0,2.68,,,,,,,,,,
14105,"ALCOHOLIC BEV,WINE,TABLE,RED,CLARET",83,0.07,0,3.01,,,,,,,,,,
14106,"ALCOHOLIC BEV,WINE,TABLE,WHITE",82,0.07,0,2.6,0.96,0,5,0.27,9,0,71,0,0,0
14107,"ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER",80,0.07,0,2.46,,,,,,,,,,
