ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
6336,"CAMPBELL, CAMPBELL'S RED & WHITE,CRM OF CHICK SOUP,COND",97,1.61,6.45,8.06,0.81,8,702,0.29,0,2.016,48,0,,
6337,"CAMPBELL,CAMPBELL'S RED&WHITE,CRM OF CHIC W/ HERBS SOUP,COND",65,1.61,3.23,7.26,0.81,8,645,,0,1.21,,0,,
6338,"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF MUSHROOM SOUP,COND",81,0.81,4.84,7.26,0.81,4,702,,0,1.21,48,0,,
6339,"CAMPBELL,CAMPBELLS RED&WHITE,CRM OF MSHRM W/ RSTD GARLC,COND",56,1.61,2.02,8.06,0.81,4,387,0,16,0.806,484,0,,
6340,"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND",81,0.81,4.84,8.06,3.23,4,645,0,0,1.21,48,0,,
6341,"CAMPBELL, CAMPBELL'S RED & WHITE,CRM OF POTATO SOUP,COND",73,1.61,1.61,12.1,0.81,4,484,0.29,0,0.806,548,0,,
6342,"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND",81,2.42,4.84,6.45,0,16,694,0,0,1.613,24,0,,
6343,"CAMPBELL,CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND",97,3.23,5.65,8.87,0.81,12,702,0.29,16,1.21,56,0,,
6344,"CAMPBELL,CAMPBELL'S RED&WHITE,CREAMY CHICK VERDE SOUP,COND",89,1.61,5.65,8.06,0.81,8,629,0,16,2.016,,0,,
6346,"COMPANY,CAMPBELL'S RED & WHITE,CURLY NOODLE SOUP,COND",63,3.17,1.59,8.73,0.79,12,381,0.57,16,0.397,,0,,
6347,"CAMPBELL'S RED & WHITE,DANNY PHANTOM SHAPED PASTA",56,3.17,1.59,7.94,0.79,4,444,0.29,0,0.397,,0,,
6349,"CAMPBELL'S RED & WHITE,DORA THE EXPLORER SOUP,COND",63,2.38,1.59,10.32,2.38,4,381,0.29,,0.397,381,0,,
6350,"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND",87,2.38,1.59,15.87,0.79,8,381,0.57,0,0.397,667,0,,
6351,"CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND",87,0.79,1.59,18.25,7.94,0,611,0.29,0,0.397,119,1.9,,
6353,"CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND",97,2.42,6.45,8.06,1.61,8,637,0,65,2.419,81,0,,
6354,"CAMPBELL'S RED & WHITE,FRENCH ONION SOUP,COND",36,1.59,1.19,4.76,3.17,4,516,0,16,0.794,444,0,,
6355,"CAMPBELL'S RED & WHITE,GOLDEN MUSHROOM SOUP,COND",65,1.61,2.82,8.06,0.81,0,524,,0,0.806,548,0,,
6357,"CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ CHICK",63,2.38,1.59,9.52,0.79,4,381,0.29,,0.397,429,0,,
6358,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK",79,2.51,2.63,11.73,,9,442,0.35,74,1.25,241,2.8,,
6359,"SOUP,TOMATO,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",55,2.49,1.3,8.95,6.53,4,210,0.55,69,0.695,183,6.3,0.18,0.6
6360,"CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ MEATBALL",71,3.17,2.38,8.73,0.79,8,381,0.57,,0.794,381,0,,
6361,"CAMPBELL'S RED & WHITE,GRN PEA SOUP,COND",141,7.03,2.34,21.88,4.69,0,680,1.13,16,0.781,305,0,,
6362,"CAMPBELL'S RED & WHITE,HEARTY VEG W/ PASTA SOUP,COND",71,2.38,0.4,15.08,6.35,0,706,0.57,16,0,,0,,
